typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,year
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,True,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,True,-1,N/A,0.0,False,156937649.657,True,0.0,False,53733638032.0,0.0,53733638032.0,6,False,True,2020
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,50,BGD,Bangladesh,0,W00,World,H5,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,291800820.0,False,11,12u,24316735.0,False,51110078.0,False,0.0,False,504477283.0,0.0,504477283.0,0,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,379913976.0,False,11,12u,31659498.0,False,72096327.0,False,0.0,False,695121465.0,0.0,695121465.0,0,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,239195424.0,False,11,12u,19932952.0,False,42208238.0,False,0.0,False,522340182.0,0.0,522340182.0,0,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1135068.0,False,11,12u,94589.0,False,231839.0,False,0.0,False,9473317.0,0.0,9473317.0,0,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,6109,"T-shirts, singlets and other vests; knitted or crocheted",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,163410132.0,False,11,12u,13617511.0,False,26555944.0,False,0.0,False,475577865.0,0.0,475577865.0,0,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1092705880.79,True,-1,N/A,0.0,False,1092705880.79,True,0.0,False,10246837775.0,0.0,10246837775.0,6,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,34685096.215,True,-1,N/A,0.0,False,34685096.215,True,0.0,False,409804471.0,0.0,409804471.0,6,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,444754771.331,True,-1,N/A,0.0,False,444754771.331,True,0.0,False,5225080683.0,0.0,5225080683.0,6,False,True,2021
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2188807311.919,True,-1,N/A,0.0,False,2188807311.919,True,0.0,False,26186428097.0,0.0,26186428097.0,6,False,True,2021
