year,reporterISO,reporterDesc,partnerISO,partnerDesc,cmdCode,cmdDesc,flowDesc,qty,netWgt,cifvalue,fobvalue,primaryValue
2022,USA,USA,BGD,Bangladesh,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,358107192.0,61038883.0,707577746.0,665602745.0,707577746.0
2022,USA,USA,CHN,China,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,339974568.0,66279414.0,761753168.0,699849802.0,761753168.0
2022,USA,USA,KOR,"Korea, Rep.",6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,1304796.0,258426.0,13461712.0,12811736.0,13461712.0
2022,USA,USA,MEX,Mexico,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,59431234.98,9971540770.0,9940991407.0,9971540770.0
2022,USA,USA,BGD,Bangladesh,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,449.824,285.996,125311.0,122458.0,125311.0
2022,USA,USA,VNM,Viet Nam,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,93498290.97,24592076701.0,24186275029.0,24592076701.0
2022,USA,USA,CHN,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,1201427045.44,1201427045.44,11644238199.0,10486958322.0,11644238199.0
2022,USA,USA,KOR,"Korea, Rep.",8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,3523077.906,1382339628.0,1360114345.0,1382339628.0
2022,USA,USA,KOR,"Korea, Rep.",8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",Import,552390439.305,552390439.305,6467805284.0,6089062821.0,6467805284.0
2022,USA,USA,MEX,Mexico,6109,"T-shirts, singlets and other vests; knitted or crocheted",Import,215136120.0,37647857.0,530560008.0,527196456.0,530560008.0
2022,USA,USA,CHN,China,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",Import,0.0,137977331.822,64403930804.0,63165388810.0,64403930804.0
